month,source_hour,mean_irradiance_w_m2,median_irradiance_w_m2,min_irradiance_w_m2,max_irradiance_w_m2,std_irradiance_w_m2,valid_observation_count,missing_observation_count
9,4,0.08680555555555555,0.0,0.0,1.1111111111111112,0.28179958876913336,16,0
9,5,1.3541666666666665,0.0,0.0,11.11111111111111,3.2518987805607273,16,0
9,6,7.673611111111111,1.5277777777777777,0.0,38.333333333333336,12.484094819280656,16,0
9,7,33.94097222222222,22.77777777777778,10.833333333333334,92.22222222222223,27.2977445875644,16,0
9,8,86.66666666666666,75.69444444444446,54.72222222222222,155.0,32.05560369724866,16,0
9,9,148.57638888888889,139.8611111111111,115.83333333333333,212.5,28.09996027558957,16,0
9,10,204.79166666666669,202.3611111111111,170.55555555555554,249.44444444444446,23.538013209351835,16,0
9,11,244.47916666666669,241.25,201.94444444444443,313.3333333333333,27.76775282063385,16,0
9,12,261.23263888888886,261.80555555555554,175.0,345.55555555555554,36.915537110328394,16,0
9,13,258.9236111111111,258.75,145.0,352.22222222222223,46.31735169352016,16,0
9,14,226.89236111111111,243.61111111111111,111.11111111111111,267.22222222222223,45.69144352973843,16,0
9,15,178.71527777777777,197.5,59.44444444444444,230.83333333333331,51.02184989459581,16,0
9,16,116.80555555555557,123.47222222222223,21.38888888888889,172.22222222222223,45.10436001298622,16,0
9,17,57.083333333333336,65.0,2.2222222222222223,89.72222222222223,27.447668126759112,16,0
9,18,17.569444444444443,19.583333333333336,0.2777777777777778,32.5,11.219609156723314,16,0
9,19,1.4583333333333335,1.5277777777777777,0.0,4.722222222222222,1.292985189237865,16,0
9,20,0.0,0.0,0.0,0.0,0.0,16,0
9,21,0.0,0.0,0.0,0.0,0.0,16,0
9,22,0.0,0.0,0.0,0.0,0.0,16,0
9,23,0.0,0.0,0.0,0.0,0.0,16,0
9,24,0.0,0.0,0.0,0.0,0.0,16,0
10,1,0.0,0.0,0.0,0.0,0.0,16,0
10,2,0.5208333333333333,0.0,0.0,4.444444444444445,1.3791323985896011,16,0
10,3,3.923611111111111,0.2777777777777778,0.0,26.666666666666668,8.863897158671584,16,0
10,4,16.458333333333336,7.222222222222222,2.2222222222222223,69.16666666666667,20.488002109836742,16,0
10,5,51.75347222222222,35.69444444444444,21.38888888888889,146.11111111111111,38.88673522475664,16,0
10,6,111.77083333333331,81.94444444444443,61.666666666666664,231.66666666666666,52.3224879656308,16,0
10,7,194.67013888888889,165.83333333333331,130.27777777777777,307.77777777777777,57.20758701283665,16,0
10,8,281.0763888888889,263.05555555555554,209.72222222222223,375.8333333333333,56.16681091310195,16,0
10,9,355.41666666666663,339.44444444444446,284.16666666666663,440.55555555555554,51.17437710835358,16,0
10,10,420.9027777777778,417.63888888888886,362.5,514.7222222222222,46.77066234261684,16,0
10,11,461.35416666666663,454.30555555555554,412.22222222222223,550.5555555555555,42.537066261941945,16,0
10,12,485.1215277777777,474.44444444444446,394.1666666666667,584.4444444444445,46.53397899526417,16,0
10,13,473.62847222222223,475.97222222222223,363.3333333333333,620.2777777777778,56.25380359796735,16,0
10,14,440.4340277777777,454.16666666666663,304.44444444444446,562.2222222222222,62.10347206303324,16,0
10,15,383.6284722222222,406.94444444444446,225.0,526.1111111111111,72.87062699964223,16,0
10,16,311.16319444444446,334.72222222222223,147.22222222222223,428.6111111111111,78.49158029011984,16,0
10,17,233.02083333333331,252.77777777777777,76.66666666666667,336.3888888888889,76.39645585417028,16,0
10,18,149.53125,169.44444444444443,24.72222222222222,220.55555555555557,63.34541135238836,16,0
10,19,80.50347222222223,87.5,1.3888888888888888,190.2777777777778,49.185675207077644,16,0
10,20,28.541666666666664,27.083333333333332,0.0,99.16666666666666,24.428761804319535,16,0
10,21,5.312499999999999,4.583333333333334,0.0,20.277777777777775,5.5831490664267935,16,0
10,22,0.3298611111111111,0.1388888888888889,0.0,1.3888888888888888,0.43293844780577917,16,0
10,23,0.0,0.0,0.0,0.0,0.0,16,0
10,24,0.0,0.0,0.0,0.0,0.0,16,0
11,1,7.65625,4.722222222222222,0.0,27.5,8.67210699973281,16,0
11,2,21.89236111111111,13.055555555555555,0.2777777777777778,81.38888888888889,24.554512033717785,16,0
11,3,55.24305555555556,39.02777777777778,3.6111111111111107,152.5,43.74776596294914,16,0
11,4,108.62847222222221,94.72222222222223,18.333333333333332,219.44444444444446,57.411899652492075,16,0
11,5,174.94791666666669,153.33333333333334,58.05555555555555,303.05555555555554,70.59106854505981,16,0
11,6,252.55208333333334,228.75,116.1111111111111,395.55555555555554,79.7131701371408,16,0
11,7,340.6076388888889,327.22222222222223,223.33333333333334,483.88888888888886,77.27258008653816,16,0
11,8,423.52430555555554,417.5,298.8888888888889,558.3333333333333,75.42865969370858,16,0
11,9,505.78125,499.0277777777777,377.77777777777777,605.5555555555555,69.0978922357242,16,0
11,10,573.6805555555555,576.6666666666665,462.77777777777777,647.5,60.66601376666715,16,0
11,11,615.6944444444443,627.2222222222222,508.8888888888889,691.9444444444445,55.25893034357478,16,0
11,12,632.8819444444443,655.4166666666667,541.6666666666666,723.8888888888888,53.7376529028406,16,0
11,13,626.7361111111112,638.8888888888889,532.7777777777777,724.7222222222222,62.08785922686079,16,0
11,14,595.4340277777778,599.3055555555555,460.8333333333333,710.0,68.14057189795405,16,0
11,15,540.9375,545.6944444444445,387.5,651.1111111111111,72.9022031510697,16,0
11,16,470.60763888888886,474.16666666666663,297.5,583.0555555555555,79.96586326396682,16,0
11,17,386.02430555555554,387.2222222222222,218.33333333333334,488.6111111111111,80.69366951562633,16,0
11,18,295.98958333333337,308.3333333333333,139.72222222222223,384.72222222222223,70.17746234873286,16,0
