year,month,source_hour,irradiance_w_m2,pv_capacity_kw,performance_ratio,availability_factor,pv_generation_kw,generation_type
1985,11,15,592.2222222222223,100.0,0.8,1.0,47.37777777777779,MODELED_SCENARIO
1985,11,16,530.8333333333334,100.0,0.8,1.0,42.46666666666667,MODELED_SCENARIO
1985,11,17,474.1666666666667,100.0,0.8,1.0,37.93333333333334,MODELED_SCENARIO
1985,11,18,384.72222222222223,100.0,0.8,1.0,30.77777777777778,MODELED_SCENARIO
1985,11,19,286.6666666666667,100.0,0.8,1.0,22.933333333333337,MODELED_SCENARIO
1985,11,20,194.16666666666663,100.0,0.8,1.0,15.533333333333331,MODELED_SCENARIO
1985,11,21,104.16666666666666,100.0,0.8,1.0,8.333333333333334,MODELED_SCENARIO
1985,11,22,56.94444444444444,100.0,0.8,1.0,4.555555555555556,MODELED_SCENARIO
1985,11,23,40.27777777777777,100.0,0.8,1.0,3.2222222222222223,MODELED_SCENARIO
1985,11,24,13.88888888888889,100.0,0.8,1.0,1.1111111111111114,MODELED_SCENARIO
1985,12,1,35.27777777777778,100.0,0.8,1.0,2.8222222222222224,MODELED_SCENARIO
1985,12,2,69.16666666666667,100.0,0.8,1.0,5.533333333333334,MODELED_SCENARIO
1985,12,3,95.83333333333331,100.0,0.8,1.0,7.666666666666664,MODELED_SCENARIO
1985,12,4,138.61111111111111,100.0,0.8,1.0,11.088888888888889,MODELED_SCENARIO
1985,12,5,206.38888888888889,100.0,0.8,1.0,16.511111111111113,MODELED_SCENARIO
1985,12,6,292.77777777777777,100.0,0.8,1.0,23.42222222222222,MODELED_SCENARIO
1985,12,7,368.05555555555554,100.0,0.8,1.0,29.444444444444443,MODELED_SCENARIO
1985,12,8,475.0,100.0,0.8,1.0,38.0,MODELED_SCENARIO
1985,12,9,564.1666666666667,100.0,0.8,1.0,45.13333333333334,MODELED_SCENARIO
1985,12,10,636.9444444444445,100.0,0.8,1.0,50.955555555555556,MODELED_SCENARIO
1985,12,11,675.2777777777778,100.0,0.8,1.0,54.02222222222223,MODELED_SCENARIO
1985,12,12,708.6111111111111,100.0,0.8,1.0,56.6888888888889,MODELED_SCENARIO
1985,12,13,760.0,100.0,0.8,1.0,60.800000000000004,MODELED_SCENARIO
1985,12,14,738.6111111111111,100.0,0.8,1.0,59.088888888888896,MODELED_SCENARIO
1985,12,15,670.8333333333334,100.0,0.8,1.0,53.66666666666668,MODELED_SCENARIO
1985,12,16,602.7777777777777,100.0,0.8,1.0,48.22222222222222,MODELED_SCENARIO
1985,12,17,503.6111111111111,100.0,0.8,1.0,40.28888888888889,MODELED_SCENARIO
1985,12,18,408.88888888888886,100.0,0.8,1.0,32.71111111111111,MODELED_SCENARIO
1985,12,19,307.22222222222223,100.0,0.8,1.0,24.57777777777778,MODELED_SCENARIO
1985,12,20,226.38888888888889,100.0,0.8,1.0,18.11111111111111,MODELED_SCENARIO
1985,12,21,153.88888888888889,100.0,0.8,1.0,12.31111111111111,MODELED_SCENARIO
1985,12,22,99.16666666666666,100.0,0.8,1.0,7.933333333333334,MODELED_SCENARIO
1985,12,23,59.72222222222222,100.0,0.8,1.0,4.777777777777778,MODELED_SCENARIO
1985,12,24,35.27777777777778,100.0,0.8,1.0,2.8222222222222224,MODELED_SCENARIO
